"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Ontario","2016A000235","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063943","7.1.1.1.1.1","12158.8","","","","1"
"2020-01","Ontario","2016A000235","Population","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063970","7.1.1.2.1.1","1874.3","","","","1"
"2020-01","Ontario","2016A000235","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064051","7.1.1.5.1.1","10284.5","","","","1"
"2020-01","Ontario","2016A000235","Population","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064078","7.1.1.6.1.1","5830.4","","","","1"
"2020-01","Ontario","2016A000235","Population","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064105","7.1.1.7.1.1","4454.1","","","","1"
"2020-01","Ontario","2016A000235","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063944","7.2.1.1.1.1","7932.6","","","","1"
"2020-01","Ontario","2016A000235","Labour force","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063971","7.2.1.2.1.1","1138.1","","","","1"
"2020-01","Ontario","2016A000235","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064052","7.2.1.5.1.1","6794.5","","","","1"
"2020-01","Ontario","2016A000235","Labour force","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064079","7.2.1.6.1.1","5038.3","","","","1"
"2020-01","Ontario","2016A000235","Labour force","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064106","7.2.1.7.1.1","1756.2","","","","1"
"2020-01","Ontario","2016A000235","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063945","7.3.1.1.1.1","7523.2","","","","1"
"2020-01","Ontario","2016A000235","Employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063972","7.3.1.2.1.1","1029.4","","","","1"
"2020-01","Ontario","2016A000235","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064053","7.3.1.5.1.1","6493.8","","","","1"
"2020-01","Ontario","2016A000235","Employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064080","7.3.1.6.1.1","4802.9","","","","1"
"2020-01","Ontario","2016A000235","Employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064107","7.3.1.7.1.1","1690.9","","","","1"
"2020-01","Ontario","2016A000235","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063946","7.4.1.1.1.1","6137.1","","","","1"
"2020-01","Ontario","2016A000235","Full-time employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063973","7.4.1.2.1.1","533.5","","","","1"
"2020-01","Ontario","2016A000235","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064054","7.4.1.5.1.1","5603.7","","","","1"
"2020-01","Ontario","2016A000235","Full-time employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064081","7.4.1.6.1.1","4289.4","","","","1"
"2020-01","Ontario","2016A000235","Full-time employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064108","7.4.1.7.1.1","1314.3","","","","1"
"2020-01","Ontario","2016A000235","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063947","7.5.1.1.1.1","1386.1","","","","1"
"2020-01","Ontario","2016A000235","Part-time employment ","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063974","7.5.1.2.1.1","495.9","","","","1"
"2020-01","Ontario","2016A000235","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064055","7.5.1.5.1.1","890.2","","","","1"
"2020-01","Ontario","2016A000235","Part-time employment ","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064082","7.5.1.6.1.1","513.6","","","","1"
"2020-01","Ontario","2016A000235","Part-time employment ","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064109","7.5.1.7.1.1","376.6","","","","1"
"2020-01","Ontario","2016A000235","Unemployment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063948","7.6.1.1.1.1","409.3","","","","1"
"2020-01","Ontario","2016A000235","Unemployment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063975","7.6.1.2.1.1","108.6","","","","1"
"2020-01","Ontario","2016A000235","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064056","7.6.1.5.1.1","300.7","","","","1"
"2020-01","Ontario","2016A000235","Unemployment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064083","7.6.1.6.1.1","235.4","","","","1"
"2020-01","Ontario","2016A000235","Unemployment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064110","7.6.1.7.1.1","65.3","","","","1"
"2020-01","Ontario","2016A000235","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063949","7.7.1.1.1.1","5.2","","","","1"
"2020-01","Ontario","2016A000235","Unemployment rate","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063976","7.7.1.2.1.1","9.5","","","","1"
"2020-01","Ontario","2016A000235","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064057","7.7.1.5.1.1","4.4","","","","1"
"2020-01","Ontario","2016A000235","Unemployment rate","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064084","7.7.1.6.1.1","4.7","","","","1"
