"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-04","Saskatchewan","2016A000247","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064321","9.1.1.1.1.1","895.7","","","","1"
"2022-04","Saskatchewan","2016A000247","Population","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064348","9.1.1.2.1.1","135.1","","","","1"
"2022-04","Saskatchewan","2016A000247","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064429","9.1.1.5.1.1","760.7","","","","1"
"2022-04","Saskatchewan","2016A000247","Population","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064456","9.1.1.6.1.1","432.4","","","","1"
"2022-04","Saskatchewan","2016A000247","Population","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064483","9.1.1.7.1.1","328.2","","","","1"
"2022-04","Saskatchewan","2016A000247","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064322","9.2.1.1.1.1","614.9","","","","1"
"2022-04","Saskatchewan","2016A000247","Labour force","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064349","9.2.1.2.1.1","91.3","","","","1"
"2022-04","Saskatchewan","2016A000247","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064430","9.2.1.5.1.1","523.6","","","","1"
"2022-04","Saskatchewan","2016A000247","Labour force","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064457","9.2.1.6.1.1","391.8","","","","1"
"2022-04","Saskatchewan","2016A000247","Labour force","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064484","9.2.1.7.1.1","131.7","","","","1"
"2022-04","Saskatchewan","2016A000247","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064323","9.3.1.1.1.1","581.5","","","","1"
"2022-04","Saskatchewan","2016A000247","Employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064350","9.3.1.2.1.1","81.8","","","","1"
"2022-04","Saskatchewan","2016A000247","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064431","9.3.1.5.1.1","499.7","","","","1"
"2022-04","Saskatchewan","2016A000247","Employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064458","9.3.1.6.1.1","373.8","","","","1"
"2022-04","Saskatchewan","2016A000247","Employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064485","9.3.1.7.1.1","125.9","","","","1"
"2022-04","Saskatchewan","2016A000247","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064324","9.4.1.1.1.1","478.9","","","","1"
"2022-04","Saskatchewan","2016A000247","Full-time employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064351","9.4.1.2.1.1","46.4","","","","1"
"2022-04","Saskatchewan","2016A000247","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064432","9.4.1.5.1.1","432.5","","","","1"
"2022-04","Saskatchewan","2016A000247","Full-time employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064459","9.4.1.6.1.1","333.5","","","","1"
"2022-04","Saskatchewan","2016A000247","Full-time employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064486","9.4.1.7.1.1","99.0","","","","1"
"2022-04","Saskatchewan","2016A000247","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064325","9.5.1.1.1.1","102.6","","","","1"
"2022-04","Saskatchewan","2016A000247","Part-time employment ","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064352","9.5.1.2.1.1","35.4","","","","1"
"2022-04","Saskatchewan","2016A000247","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064433","9.5.1.5.1.1","67.2","","","","1"
"2022-04","Saskatchewan","2016A000247","Part-time employment ","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064460","9.5.1.6.1.1","40.3","","","","1"
