"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Saskatchewan","2016A000247","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064321","9.1.1.1.1.1","891.8","","","","1"
"2022-01","Saskatchewan","2016A000247","Population","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064348","9.1.1.2.1.1","134.6","","","","1"
"2022-01","Saskatchewan","2016A000247","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064429","9.1.1.5.1.1","757.2","","","","1"
"2022-01","Saskatchewan","2016A000247","Population","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064456","9.1.1.6.1.1","430.1","","","","1"
"2022-01","Saskatchewan","2016A000247","Population","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064483","9.1.1.7.1.1","327.1","","","","1"
"2022-01","Saskatchewan","2016A000247","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064322","9.2.1.1.1.1","608.6","","","","1"
"2022-01","Saskatchewan","2016A000247","Labour force","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064349","9.2.1.2.1.1","89.5","","","","1"
"2022-01","Saskatchewan","2016A000247","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064430","9.2.1.5.1.1","519.1","","","","1"
"2022-01","Saskatchewan","2016A000247","Labour force","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064457","9.2.1.6.1.1","388.1","","","","1"
"2022-01","Saskatchewan","2016A000247","Labour force","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064484","9.2.1.7.1.1","131.0","","","","1"
"2022-01","Saskatchewan","2016A000247","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064323","9.3.1.1.1.1","574.8","","","","1"
"2022-01","Saskatchewan","2016A000247","Employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064350","9.3.1.2.1.1","81.4","","","","1"
"2022-01","Saskatchewan","2016A000247","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064431","9.3.1.5.1.1","493.4","","","","1"
"2022-01","Saskatchewan","2016A000247","Employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064458","9.3.1.6.1.1","369.3","","","","1"
