"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-10","Quebec","2016A000224","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063754","6.1.1.1.1.1","7069.2","","","","1"
"2020-10","Quebec","2016A000224","Population","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063781","6.1.1.2.1.1","909.2","","","","1"
"2020-10","Quebec","2016A000224","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063862","6.1.1.5.1.1","6160.0","","","","1"
"2020-10","Quebec","2016A000224","Population","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063889","6.1.1.6.1.1","3285.9","","","","1"
"2020-10","Quebec","2016A000224","Population","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063916","6.1.1.7.1.1","2874.1","","","","1"
"2020-10","Quebec","2016A000224","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063755","6.2.1.1.1.1","4548.0","","","","1"
"2020-10","Quebec","2016A000224","Labour force","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063782","6.2.1.2.1.1","631.2","","","","1"
"2020-10","Quebec","2016A000224","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063863","6.2.1.5.1.1","3916.8","","","","1"
"2020-10","Quebec","2016A000224","Labour force","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063890","6.2.1.6.1.1","2921.5","","","","1"
"2020-10","Quebec","2016A000224","Labour force","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063917","6.2.1.7.1.1","995.3","","","","1"
"2020-10","Quebec","2016A000224","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063756","6.3.1.1.1.1","4200.8","","","","1"
"2020-10","Quebec","2016A000224","Employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063783","6.3.1.2.1.1","542.5","","","","1"
"2020-10","Quebec","2016A000224","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063864","6.3.1.5.1.1","3658.3","","","","1"
"2020-10","Quebec","2016A000224","Employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063891","6.3.1.6.1.1","2734.9","","","","1"
"2020-10","Quebec","2016A000224","Employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063918","6.3.1.7.1.1","923.4","","","","1"
"2020-10","Quebec","2016A000224","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063757","6.4.1.1.1.1","3427.6","","","","1"
"2020-10","Quebec","2016A000224","Full-time employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063784","6.4.1.2.1.1","231.6","","","","1"
"2020-10","Quebec","2016A000224","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063865","6.4.1.5.1.1","3196.0","","","","1"
"2020-10","Quebec","2016A000224","Full-time employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063892","6.4.1.6.1.1","2468.8","","","","1"
"2020-10","Quebec","2016A000224","Full-time employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063919","6.4.1.7.1.1","727.2","","","","1"
"2020-10","Quebec","2016A000224","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063758","6.5.1.1.1.1","773.2","","","","1"
"2020-10","Quebec","2016A000224","Part-time employment ","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063785","6.5.1.2.1.1","310.9","","","","1"
"2020-10","Quebec","2016A000224","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063866","6.5.1.5.1.1","462.3","","","","1"
"2020-10","Quebec","2016A000224","Part-time employment ","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063893","6.5.1.6.1.1","266.1","","","","1"
"2020-10","Quebec","2016A000224","Part-time employment ","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063920","6.5.1.7.1.1","196.2","","","","1"
